node_1,node_2,edge,source
Environmental Tax,Patents Granted,"The study found no significant effect of environmental tax level on the number of granted PV patents, suggesting that environmental taxes may not directly influence invention in solar PV technology.",Energy Policy 172 (2023) 113319
Feed-in Tariffs (FITs),Cumulative Capacity,"FITs have a positive and significant effect on the cumulative capacity of solar PV, indicating that these policies promote the diffusion of solar PV technology.",Energy Policy 172 (2023) 113319
Public R&D Stock and Flow,Cumulative Capacity,"Public R&D support does not have a significant effect on the cumulative capacity of solar PV, suggesting that the impact of R&D on diffusion may not be direct or immediate.",Energy Policy 172 (2023) 113319
Environmental Policy Stringency Index,Cumulative Capacity,"The study found no significant effect of the environmental policy stringency index on cumulative capacity, indicating that while it may encourage invention, its impact on diffusion is not clear.",Energy Policy 172 (2023) 113319
Polysilicon Price,Patents Granted,"A higher polysilicon price is negatively associated with the number of granted PV patents, suggesting that high input prices may incentivize cost reduction efforts and innovation in solar PV technology.",Energy Policy 172 (2023) 113319
Brent Oil Price,Cumulative Capacity,"The study found no clear relationship between Brent oil price and the cumulative capacity of solar PV, indicating that oil prices may not directly influence the diffusion of solar PV technology.",Energy Policy 172 (2023) 113319
GDP,Cumulative Capacity,"GDP is positively associated with the cumulative capacity of solar PV, suggesting that a country's economic capacity may enable greater investment in solar PV technology and its diffusion.",Energy Policy 172 (2023) 113319
Population,Cumulative Capacity,"Population size is negatively associated with the cumulative capacity of solar PV, which may indicate that larger populations do not necessarily lead to greater diffusion of solar PV technology.",Energy Policy 172 (2023) 113319
Technology's Value,Information Disclosure,"Innovators with more valuable technology are more likely to disclose private information to receive fair payment, despite a rival's earlier challenge.",Licensing and information disclosure under asymmetric information
Information Disclosure,Investment Timing,Innovators make R&D investment earlier under asymmetric information due to the interaction between investment timing and information disclosure decisions.,Licensing and information disclosure under asymmetric information
Bargaining Power,Information Disclosure,"The less bargaining power the innovator has, the more private information they disclose, leading to a decrease in the gap between the investment triggers of valuable and less valuable technology.",Licensing and information disclosure under asymmetric information
Rival's Challenge,Investment Timing,A stronger rival's challenge leads to earlier investment by the upstream leader under asymmetric information.,Licensing and information disclosure under asymmetric information
Technology's Value,Royalties,"The more valuable the technology, the higher the royalties received by the innovator, especially when they disclose more information.",Licensing and information disclosure under asymmetric information
Investment Costs,Investment Timing,"Higher investment costs may delay the investment timing, but the relationship is complex and depends on the interaction with other variables such as information disclosure.",Licensing and information disclosure under asymmetric information
Demand Shock,Investment Timing,An increase in demand shock can trigger earlier investment by the upstream leader.,Licensing and information disclosure under asymmetric information
Legal Probability,Technology's Value,The probability of winning a legal challenge is directly linked to the value of the patented technology.,Licensing and information disclosure under asymmetric information
Follower's Technology,Investment Timing,The development of the follower's technology can affect the leader's investment timing and licensing agreements.,Licensing and information disclosure under asymmetric information
Transport Energy Consumption,Ecological Footprint,"An increase in transport energy consumption is positively associated with an increase in ecological footprint, indicating that higher energy use in transport contributes to a larger ecological impact.","Do natural resource dependence, economic growth and transport energy consumption accelerate ecological footprint in the most innovative countries? The moderating role of technological innovation"
Natural Resource Dependence,Ecological Footprint,"Higher dependence on natural resources is associated with a larger ecological footprint, suggesting that economies relying more on natural resources have a greater impact on the environment.","Do natural resource dependence, economic growth and transport energy consumption accelerate ecological footprint in the most innovative countries? The moderating role of technological innovation"
Technological Innovation,Ecological Footprint,"Technological innovation has a negative relationship with ecological footprint, meaning that increased innovation can help reduce the environmental impact of economic activities.","Do natural resource dependence, economic growth and transport energy consumption accelerate ecological footprint in the most innovative countries? The moderating role of technological innovation"
GDP per capita,Ecological Footprint,"There is an inverted U-shaped relationship between GDP per capita and ecological footprint, indicating that environmental pressure initially rises with economic growth but decreases at higher income levels, supporting the Environmental Kuznets Curve hypothesis.","Do natural resource dependence, economic growth and transport energy consumption accelerate ecological footprint in the most innovative countries? The moderating role of technological innovation"
Innovation Resources,Technological Innovation,The investment in R&D and human capital has a positive effect on the implementation of technological innovation in both Chile and Peru.,New approach to the innovation process in emerging economies: The manufacturing sector case in Chile and Peru
Cooperation,Non-technological Innovation,"Cooperation with external partners has a positive effect on non-technological innovation, particularly in Peru where inter-firm cooperation is more prevalent.",New approach to the innovation process in emerging economies: The manufacturing sector case in Chile and Peru
Information Sources,Organizational Innovation,The use of external information sources is positively related to organizational innovation in both countries.,New approach to the innovation process in emerging economies: The manufacturing sector case in Chile and Peru
Institutional Factors,Innovation Types,"In Chile, public programs positively affect innovation, while in Peru, the support system negatively impacts product and organizational innovation due to institutional quality issues.",New approach to the innovation process in emerging economies: The manufacturing sector case in Chile and Peru
Industry Effect,Marketing Innovation,A market structure where one company dominates positively affects marketing innovation in both countries.,New approach to the innovation process in emerging economies: The manufacturing sector case in Chile and Peru
Financial Barriers,Innovation Types,"Firms with high perceived financial constraints in Chile prefer to develop marketing innovations, while in Peru, financial barriers have less impact due to lower overall barriers compared to Chile.",New approach to the innovation process in emerging economies: The manufacturing sector case in Chile and Peru
Firm Size,Process Innovation,"In Peru, large firms investing in R&D perform non-technological innovation, while small firms hire university workers for marketing innovation activities. In Chile, human capital has positive effects on product and marketing innovation for SMEs.",New approach to the innovation process in emerging economies: The manufacturing sector case in Chile and Peru
Type of Industry,Innovation Types,"In the metallic sector of Peru, the support system negatively affects product innovation due to a scarcity of qualified personnel, while in the non-metallic sector, the percentage of non-university workers positively affects financial performance.",New approach to the innovation process in emerging economies: The manufacturing sector case in Chile and Peru
PV_PAT,GS,Government subsidy policy has a positive and significant effect on promoting urban PV technology innovation.,Regional policy effect on photovoltaic (PV) technology innovation: Findings from 260 cities in China
PV_PAT,PT,Plans and targets set by the government policy have a positive and significant effect on PV technology innovation.,Regional policy effect on photovoltaic (PV) technology innovation: Findings from 260 cities in China
PV_PAT,FIT,Feed-in tariff policy has a positive and significant effect on stimulating PV technology innovation.,Regional policy effect on photovoltaic (PV) technology innovation: Findings from 260 cities in China
PV_PAT,GP,Government purchase policy significantly stimulates PV technology innovation.,Regional policy effect on photovoltaic (PV) technology innovation: Findings from 260 cities in China
PV_PAT,Polcom,The implementation of any PV policy has a significant effect on PV technology innovation.,Regional policy effect on photovoltaic (PV) technology innovation: Findings from 260 cities in China
PV_PAT,Polavg,"The number of city-level PV policy instruments can positively stimulate PV technology innovation, but the effect weakens after a certain level.",Regional policy effect on photovoltaic (PV) technology innovation: Findings from 260 cities in China
PV_PAT,Polbal,Balancing the three types of PV policy instruments is conducive to urban PV technology innovation.,Regional policy effect on photovoltaic (PV) technology innovation: Findings from 260 cities in China
PV_PAT,ln (GDP),"The level of urban economic development, as measured by GDP per capita, positively affects PV technology innovation.",Regional policy effect on photovoltaic (PV) technology innovation: Findings from 260 cities in China
PV_PAT,T_PAT,"The total number of patent applications per capita, excluding PV patents, reflects urban innovation capacity and positively affects PV technology innovation.",Regional policy effect on photovoltaic (PV) technology innovation: Findings from 260 cities in China
PV_PAT,ln (EC),The level of electricity consumption positively influences PV technology innovation.,Regional policy effect on photovoltaic (PV) technology innovation: Findings from 260 cities in China
Industry 4.0,Environmental Sustainability,"Industry 4.0 technologies and innovations have positive impacts on CO2 emissions, indicating a potential negative effect on environmental sustainability.",Nexus between Industry 4.0 and environmental sustainability: A Fourier panel bootstrap cointegration and causality analysis
Economic Growth,Environmental Sustainability,"Economic growth has a positive relationship with CO2 emissions, suggesting that increased economic activity may lead to higher emissions.",Nexus between Industry 4.0 and environmental sustainability: A Fourier panel bootstrap cointegration and causality analysis
Energy Consumption,Environmental Sustainability,"Energy consumption has a strong positive effect on CO2 emissions, contributing significantly to environmental degradation.",Nexus between Industry 4.0 and environmental sustainability: A Fourier panel bootstrap cointegration and causality analysis
ICT Exports,Environmental Sustainability,"ICT exports have a positive impact on CO2 emissions, suggesting that the technology intensity of the manufacturing industry enhances the emission of environmentally hazardous gases.",Nexus between Industry 4.0 and environmental sustainability: A Fourier panel bootstrap cointegration and causality analysis
R&D Expenditures,Environmental Sustainability,"R&D expenditures are found to be a long-run Granger cause of greenhouse gas emissions, indicating that directed R&D spending may contribute to environmental degradation.",Nexus between Industry 4.0 and environmental sustainability: A Fourier panel bootstrap cointegration and causality analysis
AI-Related Patents,Environmental Sustainability,"AI-related patents show unidirectional causality from patents to greenhouse gas emissions in the long run, indicating that AI innovations contribute to environmental degradation.",Nexus between Industry 4.0 and environmental sustainability: A Fourier panel bootstrap cointegration and causality analysis
ICT-Related Patents,Environmental Sustainability,"ICT-related patents have a positive impact on CO2 emissions, suggesting that ICT innovations may indirectly contribute to environmental degradation.",Nexus between Industry 4.0 and environmental sustainability: A Fourier panel bootstrap cointegration and causality analysis
Bitcoin,Environmental Sustainability,"Bitcoin mining activities have significant effects on greenhouse gas emissions, confirming the negative environmental impacts of blockchain technologies.",Nexus between Industry 4.0 and environmental sustainability: A Fourier panel bootstrap cointegration and causality analysis
Environmental Policy Stringency,Green Innovation,"Stringent environmental policies encourage green innovation in renewable energy technology, with a more pronounced impact in OECD countries and high-income countries.",Does an environmental policy bring to green innovation in renewable energy?
Non-Market-Based Environmental Policy Stringency,Green Innovation,Non-market-based environmental policy stringency induces more patents in renewable energy generation.,Does an environmental policy bring to green innovation in renewable energy?
Market-Based Environmental Policy Stringency,Green Innovation,Market-based environmental policy stringency has an insignificant influence on green innovation in renewable energy.,Does an environmental policy bring to green innovation in renewable energy?
Environmental Policy Stringency,Green Innovation for Different Energy Types,"Stringent environmental policies yield green innovation for geothermal, hydro, and marine energy, but not for wind and solar energy.",Does an environmental policy bring to green innovation in renewable energy?
Innovation Capacity,Green Innovation,"In countries with strong innovation capacity, environmental policy stringency encourages more patents in renewable energy technologies.",Does an environmental policy bring to green innovation in renewable energy?
Environmental Pressure,Green Innovation,Environmental pressure enhances the positive effect of environmental policy stringency on green innovation in renewable energy technologies.,Does an environmental policy bring to green innovation in renewable energy?
Clean Energy Investment,Green Innovation,Clean energy investment is a mechanism through which environmental policy stringency spurs green innovation in the renewable energy field.,Does an environmental policy bring to green innovation in renewable energy?
Foreign Direct Investment,Green Innovation,Foreign direct investment does not improve green innovation of renewable energy in the host country.,Does an environmental policy bring to green innovation in renewable energy?
Economic Development,Green Innovation,Countries with better economic development levels have more patents in renewable energy technologies.,Does an environmental policy bring to green innovation in renewable energy?
Population Density,Green Innovation,Countries with larger population density have more patents in renewable energy technologies.,Does an environmental policy bring to green innovation in renewable energy?
Education Level,Green Innovation,The education level does not stimulate green innovation in the renewable energy field.,Does an environmental policy bring to green innovation in renewable energy?
Trade,Green Innovation,Trade activities do not significantly influence green innovation in renewable energy technologies.,Does an environmental policy bring to green innovation in renewable energy?
Income Inequality,Green Innovation,Countries with higher income share of the top 10% people have more patents in renewable energy technologies.,Does an environmental policy bring to green innovation in renewable energy?
Renewable Energy Consumption,Green Innovation,Renewable energy consumption has a fostering influence on the development of green innovation in renewable energy technologies.,Does an environmental policy bring to green innovation in renewable energy?
Technological Capability Accumulation,Innovative Activities,"Firms' accumulated capability levels underpin the implementation of non-R&D and R&D-related innovative activities, with higher capability levels leading to a broader range of innovative activities.",Intricacies of firm-level innovation performance: An empirical analysis of latecomer process industries
Technological Capability Accumulation,Labour Productivity,"Accumulating technological capability has a positive effect on labour productivity, with greater impacts for low-productivity firms, indicating that technological advancements can improve production efficiency.",Intricacies of firm-level innovation performance: An empirical analysis of latecomer process industries
Technological Capability Accumulation,Proportion of Exports to Revenue,"Increasing technological capabilities for higher-exporting firms results in a higher proportion of exports in their revenue, suggesting that technological capability can enhance a firm's competitiveness in international markets.",Intricacies of firm-level innovation performance: An empirical analysis of latecomer process industries
External Learning Mechanisms,Technological Capability Accumulation,"The use of external learning mechanisms, such as collaborative R&D and technical training, is positively related to the accumulation of technological capabilities, as these mechanisms facilitate the acquisition of new knowledge and skills.",Intricacies of firm-level innovation performance: An empirical analysis of latecomer process industries
Internal Learning Mechanisms,Technological Capability Accumulation,"Internal learning mechanisms, including knowledge creation, sharing, integration, and codification, significantly influence the accumulation of technological capabilities, reflecting the importance of intra-firm efforts in capability development.",Intricacies of firm-level innovation performance: An empirical analysis of latecomer process industries
Firm Size,Labour Productivity,"Firm size, as measured by the number of direct workers, does not present a statistically significant relationship with labour productivity, indicating that productivity is not solely determined by firm size.",Intricacies of firm-level innovation performance: An empirical analysis of latecomer process industries
Capital Origin,Technological Capability Accumulation,"The origin of a firm's capital, whether national or international, does not appear to have a significant impact on the accumulation of technological capabilities in the panel data model, suggesting that capital origin is not a primary driver of technological advancement.",Intricacies of firm-level innovation performance: An empirical analysis of latecomer process industries
Sector,Innovative Activities,"The industry sector in which a firm operates may influence the types of innovative activities implemented, as different sectors have distinct technological landscapes and opportunities for innovation.",Intricacies of firm-level innovation performance: An empirical analysis of latecomer process industries
Time,Technological Capability Accumulation,"Time dummies are included as control variables, but the paper does not specify a direct relationship between time and technological capability accumulation, suggesting that the study accounts for temporal effects without attributing a specific influence.",Intricacies of firm-level innovation performance: An empirical analysis of latecomer process industries
Innovative Capabilities,Technological Catch-up,"The accumulation of innovative capabilities allows latecomer firms to achieve technological catch-up, narrowing the gap with global industry leaders.",Beyond technological catch-up: An empirical investigation of further innovative capability accumulation outcomes in latecomer firms with evidence from Brazil
Innovative Capabilities,Innovative Performance,"Firms with higher levels of innovative capabilities are more likely to implement inventive and innovative activities, leading to an increase in patents and innovative activities.",Beyond technological catch-up: An empirical investigation of further innovative capability accumulation outcomes in latecomer firms with evidence from Brazil
Innovative Capabilities,Operational and Environmental-related Performance Improvement,"The accumulation of innovative capabilities contributes to improvements in operational and environmental-related performance parameters, which are vital for the international competitiveness of the firms.",Beyond technological catch-up: An empirical investigation of further innovative capability accumulation outcomes in latecomer firms with evidence from Brazil
Innovative Capabilities,Corporate Growth Patterns,"Firms with accumulated innovative capabilities are more likely to exhibit various corporate growth patterns, such as horizontal and vertical integration, mergers/acquisitions, and diversification.",Beyond technological catch-up: An empirical investigation of further innovative capability accumulation outcomes in latecomer firms with evidence from Brazil
R&D Expenditures,Innovative Capabilities,"While R&D expenditures are a common proxy for innovative capabilities, the study suggests that they may not fully capture the wide range of a firm's innovative capabilities, particularly for non-R&D based innovations.",Beyond technological catch-up: An empirical investigation of further innovative capability accumulation outcomes in latecomer firms with evidence from Brazil
Patenting Activities,Innovative Capabilities,"Patenting activities are associated with innovative capabilities, but the study indicates that innovative capabilities are not confined to securing patents and involve a wider range of resources and activities.",Beyond technological catch-up: An empirical investigation of further innovative capability accumulation outcomes in latecomer firms with evidence from Brazil
Product Innovation,Innovative Capabilities,"Product innovation is a part of the innovative capabilities of a firm, but the study suggests that innovative capabilities encompass a broader range of technological functions and activities beyond product development.",Beyond technological catch-up: An empirical investigation of further innovative capability accumulation outcomes in latecomer firms with evidence from Brazil
Firm-specific Factors,Innovative Capabilities,"Firm-specific factors such as age, size, and leadership can influence the accumulation of innovative capabilities and their outcomes.",Beyond technological catch-up: An empirical investigation of further innovative capability accumulation outcomes in latecomer firms with evidence from Brazil
Industry-specific Factors,Innovative Capabilities,Industry-specific factors can shape the type and level of innovative capabilities that are relevant and beneficial for firms within that industry.,Beyond technological catch-up: An empirical investigation of further innovative capability accumulation outcomes in latecomer firms with evidence from Brazil
Economy-wide Conditions,Innovative Capabilities,Economy-wide conditions can affect the accumulation of innovative capabilities and their ability to generate desired outcomes for firms.,Beyond technological catch-up: An empirical investigation of further innovative capability accumulation outcomes in latecomer firms with evidence from Brazil
Public Funds,Innovation Performance,"Public funds positively affect the innovation performance of high-tech industries, but only up to a certain share, after which an over-reliance may lead to a decline in innovation performance, forming an inverted-U-shaped relationship.",Public funds in high-tech industries: A blessing or a curse
Private Funds,Innovation Performance,"Private funds have a positive impact on the innovation performance of high-tech industries, particularly in mature industries where the risk of innovation is lower.",Public funds in high-tech industries: A blessing or a curse
Public_share,Innovation Performance,"The share of public funds in total investments initially has a positive effect on innovation performance, but beyond a certain threshold, it leads to a decline in innovation performance.",Public funds in high-tech industries: A blessing or a curse
Industry-specific Characteristics,Innovation Performance,The interaction between public and private funds and their impact on innovation performance varies depending on whether the industry is mature or immature.,Public funds in high-tech industries: A blessing or a curse
Regional Heterogeneity,Innovation Performance,"The effects of public and private funds on innovation performance are contingent on region-specific characteristics, with public funds being more crucial in lagging regions and immature industries.",Public funds in high-tech industries: A blessing or a curse
R&D Stage,Innovation Performance,"At the R&D stage, public and private funds have complementary effects, reinforcing each other's impacts on innovation in high-tech industries due to their different but complementary resources.",Public funds in high-tech industries: A blessing or a curse
Application Stage,Innovation Performance,"At the application stage, public and private funds may conflict due to distinct interests and needs, leading to substitution effects that can weaken the positive impact of private funds on innovation performance.",Public funds in high-tech industries: A blessing or a curse
Base,Innovation Performance,Regions with a stronger pre-existing knowledge base and industrial capacity tend to have better innovation performance due to economies of scale.,Public funds in high-tech industries: A blessing or a curse
GDP,Innovation Performance,"The development of a region's economy enhances high-tech firms' capability to innovate, suggesting a positive impact on innovation performance.",Public funds in high-tech industries: A blessing or a curse
Human Capital (HC),Innovation Performance,"Regions with high-quality human capital outperform others in innovation, highlighting the importance of a skilled labor force for high-tech industries.",Public funds in high-tech industries: A blessing or a curse
Foreign Direct Investment (FDI),Innovation Performance,"FDI contributes to R&D in China by bringing new knowledge and technologies, but has a minor role in the development of new products, possibly due to FDI倾向于将国际市场的先进产品引入中国市场，而不是在中国国内开发新产品。",Public funds in high-tech industries: A blessing or a curse
Willingness to Pay (WTP),Sales Quantities,An increase in consumers' WTP for remanufactured products leads to an increase in the quantity of remanufactured products sold and a decrease in the quantity of new products sold.,Analysis for recycling and remanufacturing strategies in a supply chain considering consumers’ heterogeneous WTP
Remanufacturing Mode,Profits,Hybrid remanufacturing modes can result in higher profits for the manufacturer compared to single-agent remanufacturing or no remanufacturing.,Analysis for recycling and remanufacturing strategies in a supply chain considering consumers’ heterogeneous WTP
Recycling Rate,Sales Quantities,"A higher recycling rate can increase the quantity of remanufactured products available for sale, thus affecting sales quantities.",Analysis for recycling and remanufacturing strategies in a supply chain considering consumers’ heterogeneous WTP
Sales Price,Profits,"The sales price of new and remanufactured products directly affects the profits of the manufacturer, distributor, and third-party remanufacturer.",Analysis for recycling and remanufacturing strategies in a supply chain considering consumers’ heterogeneous WTP
Wholesale Price,Profits,The wholesale price offered by the manufacturer to distributors influences the distributor's costs and subsequently affects their profits.,Analysis for recycling and remanufacturing strategies in a supply chain considering consumers’ heterogeneous WTP
Production Cost,Profits,Lower production costs for remanufactured products can lead to higher profits for the manufacturer and other supply chain members.,Analysis for recycling and remanufacturing strategies in a supply chain considering consumers’ heterogeneous WTP
Licensing Fee,Profits,The licensing fee charged by the manufacturer for remanufacturing rights affects the distributor's and third-party remanufacturer's profits.,Analysis for recycling and remanufacturing strategies in a supply chain considering consumers’ heterogeneous WTP
Consumer Surplus,Willingness to Pay (WTP),"Higher consumer surplus can result in a higher WTP for remanufactured products, influencing consumer purchasing decisions.",Analysis for recycling and remanufacturing strategies in a supply chain considering consumers’ heterogeneous WTP
Patent Licensing,Profits,The use of patent licensing as a strategy can impact the profits of the manufacturer by influencing the remanufacturing activities of the distributor and third-party remanufacturer.,Analysis for recycling and remanufacturing strategies in a supply chain considering consumers’ heterogeneous WTP
Co-patent Intensity,Firm Market Value,"Co-patent intensity is negatively correlated with the market value of SMEs, indicating that the sharing of patent ownership can lead to a decrease in market value due to increased perception of commercial uncertainty.","Co-patent, financing constraints, and innovation in SMEs: An empirical analysis using market value panel data of listed firms"
Supplier's Trade Credit,Firm Market Value,"Supplier's trade credit positively moderates the negative relationship between co-patent intensity and firm market value, suggesting that trade credit from suppliers can help SMEs overcome financial constraints and improve market value.","Co-patent, financing constraints, and innovation in SMEs: An empirical analysis using market value panel data of listed firms"
Government Subsidies,Firm Market Value,"Government subsidies negatively moderate the relationship between co-patent intensity and firm market value for SMEs, implying that reliance on government subsidies may lead to a further decrease in market value by increasing the perception of commercial uncertainty.","Co-patent, financing constraints, and innovation in SMEs: An empirical analysis using market value panel data of listed firms"
R&D Intensity,Firm Market Value,"R&D intensity is positively associated with firm market value, indicating that higher investment in research and development can enhance a firm's market value.","Co-patent, financing constraints, and innovation in SMEs: An empirical analysis using market value panel data of listed firms"
Resource Slack,Firm Market Value,"Resource slack is positively related to firm market value, suggesting that firms with more slack resources can better manage uncertainties and improve market value.","Co-patent, financing constraints, and innovation in SMEs: An empirical analysis using market value panel data of listed firms"
Firm Size,Firm Market Value,"Firm size is negatively related to market value, which may reflect the liability of smallness that SMEs face in terms of accessing resources and achieving economies of scale.","Co-patent, financing constraints, and innovation in SMEs: An empirical analysis using market value panel data of listed firms"
Market Development,Firm Market Value,"Market development is negatively associated with firm market value, indicating that firms operating in more developed markets may face greater competition or market saturation.","Co-patent, financing constraints, and innovation in SMEs: An empirical analysis using market value panel data of listed firms"
R&D Investment (rdspend),Overall Innovation Efficiency (efficiency),"R&D investment has a significantly positive impact on the overall innovation efficiency of manufacturing firms, indicating that increased R&D investment leads to higher innovation output.",The Impact of Financing Constraints and Uncertainty on Manufacturing Innovation Efficiency: An Empirical Analysis from Chinese Listed Firms
R&D Investment (rdspend),Innovation Quality Efficiency (efficiency1),"R&D investment significantly improves the quality efficiency of enterprise frontier innovation, suggesting that more R&D investment enhances the quality of innovation activities.",The Impact of Financing Constraints and Uncertainty on Manufacturing Innovation Efficiency: An Empirical Analysis from Chinese Listed Firms
R&D Personnel Ratio (rdperson),Innovation Quality Efficiency (efficiency1),"The ratio of R&D personnel positively affects the quality efficiency of enterprise frontier innovation, implying that a higher proportion of R&D personnel is associated with better quality innovation.",The Impact of Financing Constraints and Uncertainty on Manufacturing Innovation Efficiency: An Empirical Analysis from Chinese Listed Firms
Internal Financing (cf),Overall Innovation Efficiency (efficiency),"Internal financing significantly reduces the financing constraints of enterprises and does not bring uncertainty to subsequent financing, thereby positively affecting overall innovation efficiency.",The Impact of Financing Constraints and Uncertainty on Manufacturing Innovation Efficiency: An Empirical Analysis from Chinese Listed Firms
Commercial Credit Financing (business),Overall Innovation Efficiency (efficiency),"Commercial credit financing can alleviate enterprise financing constraints but increases the uncertainty of subsequent financing constraints, which may have a mixed impact on overall innovation efficiency.",The Impact of Financing Constraints and Uncertainty on Manufacturing Innovation Efficiency: An Empirical Analysis from Chinese Listed Firms
External Financing (onpm),Overall Innovation Efficiency (efficiency),"External financing can alleviate enterprise financing constraints but also increases the uncertainty of subsequent financing, potentially having a dual effect on overall innovation efficiency.",The Impact of Financing Constraints and Uncertainty on Manufacturing Innovation Efficiency: An Empirical Analysis from Chinese Listed Firms
Firm Size (size),Overall Innovation Efficiency (efficiency),"Firm size can alleviate financing constraints by reducing information asymmetry and increasing the value of loan collateral, thus positively affecting overall innovation efficiency.",The Impact of Financing Constraints and Uncertainty on Manufacturing Innovation Efficiency: An Empirical Analysis from Chinese Listed Firms
Firm Size (size),Uncertainty of Financing Constraints,"Firm size increases the uncertainty of subsequent financing constraints, suggesting that larger firms might face greater unpredictability in future financing.",The Impact of Financing Constraints and Uncertainty on Manufacturing Innovation Efficiency: An Empirical Analysis from Chinese Listed Firms
Technology Roadmap,Competence Set,Technology roadmaps integrate with a firm's competence sets and play dominant roles in strategy definitions.,A Fuzzy-MOP-Based Competence Set Expansion Method for Technology Roadmap Definitions
Fuzzy Multiple Objective Programming (FMOP),Competence Set Expansion,FMOP is used to address uncertainties in decision-making problems and to propose a competence set expansion method for technology roadmaps.,A Fuzzy-MOP-Based Competence Set Expansion Method for Technology Roadmap Definitions
Silicon Intellectual Properties (SIPs),Technology Roadmap,An empirical study based on the roadmapping of SIPs of automotive applications demonstrates the feasibility of the proposed roadmapping method.,A Fuzzy-MOP-Based Competence Set Expansion Method for Technology Roadmap Definitions
Research and Development (R&D),Competence Set,R&D activities are used to expand the competence set and achieve the future strategic objectives of an organization.,A Fuzzy-MOP-Based Competence Set Expansion Method for Technology Roadmap Definitions
Membership Functions,Fuzzy Multiple Objective Programming (FMOP),Membership functions are used in FMOP to define the fuzzy costs and objectives in the programming model.,A Fuzzy-MOP-Based Competence Set Expansion Method for Technology Roadmap Definitions
Habitual Domains,Competence Set,"Competence sets are projections of habitual domains, which can be dynamically altered as new skills or resources become available.",A Fuzzy-MOP-Based Competence Set Expansion Method for Technology Roadmap Definitions
Modified Delphi Method,Technology Roadmap,The modified Delphi method is used to determine the techniques required for the technology roadmap and to reach a consensus among experts.,A Fuzzy-MOP-Based Competence Set Expansion Method for Technology Roadmap Definitions
Time Variant Competence Set,Changeable Space,"The concept of time variant competence set is related to the changeable space, where parameters in decision-making problems can be variable over time.",A Fuzzy-MOP-Based Competence Set Expansion Method for Technology Roadmap Definitions
Innovation Agents,Technology Spillover Connectedness,The study finds noticeable technology spillover connectedness among the six types of innovation agents in China.,Technology Spillovers among Innovation Agents from the Perspective of Network Connectedness
Other Domestic Enterprises,Technology Spillover Connectedness,Other domestic enterprises act as the largest transmitter of total directional technology spillover connectedness.,Technology Spillovers among Innovation Agents from the Perspective of Network Connectedness
Foreign-Funded Enterprises,Technology Spillover Connectedness,Foreign-funded enterprises have a relatively small role in technology spillover connectedness in China.,Technology Spillovers among Innovation Agents from the Perspective of Network Connectedness
Economic Policy Uncertainty,Technology Spillover Connectedness,"The dynamic evolution of technology spillover connectedness shows a downward trend, closely related to the economic policy uncertainty in China.",Technology Spillovers among Innovation Agents from the Perspective of Network Connectedness
Invention Patents,Innovation Output,The number of authorized invention patents is used to measure the quality of patents and technological innovation.,Technology Spillovers among Innovation Agents from the Perspective of Network Connectedness
R&D Investment,Technology Spillover Connectedness,The study suggests that supporting enterprises to increase R&D investment can enhance technology spillover connectedness.,Technology Spillovers among Innovation Agents from the Perspective of Network Connectedness
Innovation Inputs,Innovation Efficiency,"Innovation inputs, including R&D expenditures and Human Capital, are fundamental in determining the efficiency of innovation in a region.",Measuring efficiency of innovation using combined Data Envelopment Analysis and Structural Equation Modeling: empirical study in EU regions
Innovation Outputs,Innovation Efficiency,"Innovation outputs, particularly PATTPS and PATGPS, are results of the innovation process and are used to measure the efficiency of innovation in a region.",Measuring efficiency of innovation using combined Data Envelopment Analysis and Structural Equation Modeling: empirical study in EU regions
Patent Applications,Innovation Efficiency,"High levels of patent applications are associated with higher innovation efficiency, indicating regions with more patent applications are more efficient in innovating.",Measuring efficiency of innovation using combined Data Envelopment Analysis and Structural Equation Modeling: empirical study in EU regions
Employment Level,Innovation Efficiency,"Regions with higher employment levels achieve innovation sources exploitation efficiently, suggesting a positive relationship between employment and innovation efficiency.",Measuring efficiency of innovation using combined Data Envelopment Analysis and Structural Equation Modeling: empirical study in EU regions
Development Level,Innovation Efficiency,"The development level of a region has both direct and indirect effects on innovation efficiency, with transition and less developed regions showing high levels of efficiency if they innovate in specific technological fields.",Measuring efficiency of innovation using combined Data Envelopment Analysis and Structural Equation Modeling: empirical study in EU regions
Degree of Technological Diversity,Innovation Efficiency,"The degree of technological diversity, as measured by NEI, is positively related to innovation efficiency, indicating that regions with a higher degree of diversity in innovative activity are more efficient.",Measuring efficiency of innovation using combined Data Envelopment Analysis and Structural Equation Modeling: empirical study in EU regions
Regional Effects,Innovation Efficiency,"The latent variable of regional effects, composed of patent applications and employment level, positively influences the level of innovation efficiency.",Measuring efficiency of innovation using combined Data Envelopment Analysis and Structural Equation Modeling: empirical study in EU regions
Development Level,Degree of Technological Diversity,"The development level of a region indirectly affects innovation efficiency through its influence on the degree of technological diversity, with less developed regions achieving higher efficiency through concentrated innovation policies.",Measuring efficiency of innovation using combined Data Envelopment Analysis and Structural Equation Modeling: empirical study in EU regions
hLDA Topic Model,Technology Complementarity,"The hLDA topic model reveals the hierarchical structures in technology topics, providing insights into the relationships between technologies and aiding in the measurement of technology complementarity.",Measuring Technology Complementarity Between Enterprises With an hLDA Topic Model
