name,define,source
FDI,Actual use of foreign direct investment per million persons by region.,Spatial Spillovers of Regional Innovation: Evidence from Chinese Provinces
Agglomeration Economies,"Urban employment density, used as a proxy for the geographic concentration of economic activity.",Spatial Spillovers of Regional Innovation: Evidence from Chinese Provinces
Software Intensity,"The ratio of software patent stock to total patent stock, used as a proxy for software-based innovation.",Soft but Strong: Software-Based Innovation and Product Differentiation in the IT Hardware Industry
Product Differentiation,"Measured by the total similarity score and the number of firms within a firm's TNIC industry, as well as new product launches and their novelty.",Soft but Strong: Software-Based Innovation and Product Differentiation in the IT Hardware Industry
Total Similarity Score,"The sum of a firm's pairwise similarity scores with all other firms within the same TNIC industry, indicating product similarity.",Soft but Strong: Software-Based Innovation and Product Differentiation in the IT Hardware Industry
Number of TNIC Firms,"The total number of firms within a firm's TNIC industry, related to product market competition.",Soft but Strong: Software-Based Innovation and Product Differentiation in the IT Hardware Industry
Number of New Products,"The count of new product launches by a firm, based on RavenPack data.",Soft but Strong: Software-Based Innovation and Product Differentiation in the IT Hardware Industry
Differentiated Product Launch,A dummy variable indicating whether a firm launched at least one new product that is distinctly different from other products in the same topic group.,Soft but Strong: Software-Based Innovation and Product Differentiation in the IT Hardware Industry
Novel Product Launch,A dummy variable indicating whether a firm launched at least one new product in a topic group where it had not launched any new product in the previous 5 years.,Soft but Strong: Software-Based Innovation and Product Differentiation in the IT Hardware Industry
Patent Stock/Asset,"The ratio of patent stock to total assets, controlling for overall patenting intensity.",Soft but Strong: Software-Based Innovation and Product Differentiation in the IT Hardware Industry
R&D Stock/Asset,"The ratio of R&D stock to total assets, controlling for R&D investment.",Soft but Strong: Software-Based Innovation and Product Differentiation in the IT Hardware Industry
Sales,"A proxy for firm size, used as a control variable.",Soft but Strong: Software-Based Innovation and Product Differentiation in the IT Hardware Industry
Industry R&D Intensity,"The sum of R&D investments in an industry divided by the total assets in the industry, used as a control variable.",Soft but Strong: Software-Based Innovation and Product Differentiation in the IT Hardware Industry
Basic Internet Adoption,A binary variable indicating whether a firm's locations have adopted basic Internet technology.,From wires to partners: How the Internet has fostered R&D collaborations within firms
Collaborative Patents,A binary variable indicating whether patents are co-invented by researchers across different firm locations.,From wires to partners: How the Internet has fostered R&D collaborations within firms
Geographically Dispersed Teams,A characteristic of research teams being located in different geographical locations.,From wires to partners: How the Internet has fostered R&D collaborations within firms
Within-Location Collaborative Patents,A binary variable indicating whether collaborative patents are invented by researchers within the same location.,From wires to partners: How the Internet has fostered R&D collaborations within firms
Single-Inventor Patents,A binary variable indicating whether patents are invented by a single inventor within a firm location.,From wires to partners: How the Internet has fostered R&D collaborations within firms
Firm R&D Spending,A continuous variable measured as the logarithm of per-establishment R&D spending.,From wires to partners: How the Internet has fostered R&D collaborations within firms
Establishment Employment,A continuous variable measured as the logarithm of the number of employees at the establishment.,From wires to partners: How the Internet has fostered R&D collaborations within firms
Share of Local Employment in Manufacturing,A continuous variable representing the percentage of local employment in the manufacturing sector.,From wires to partners: How the Internet has fostered R&D collaborations within firms
Local Average Weekly Wages,A continuous variable representing the average weekly wages in the local area.,From wires to partners: How the Internet has fostered R&D collaborations within firms
Log of Local Employment,A continuous variable measured as the logarithm of the total employment in the local area.,From wires to partners: How the Internet has fostered R&D collaborations within firms
Log of Number of Local Patents,A continuous variable measured as the logarithm of the total number of patents in the local area.,From wires to partners: How the Internet has fostered R&D collaborations within firms
Technological Proximity,A measure of technological relatedness between firms based on the frequency of patents in different classes.,The Role of Technology Spillovers in the Process of Water Pollution Abatement for Large International Firms
Environmental Technology Matrix,A matrix constructed using the Mahalanobis approach to evaluate the effects of environmental spillovers.,The Role of Technology Spillovers in the Process of Water Pollution Abatement for Large International Firms
Marshall-Arrow-Romer (MAR) Spillovers,Intra-industry or specialized externalities assumed to occur within the same technology class.,The Role of Technology Spillovers in the Process of Water Pollution Abatement for Large International Firms
Jacobian Spillovers,Inter-industry or diversified externalities assumed to occur between different technology classes.,The Role of Technology Spillovers in the Process of Water Pollution Abatement for Large International Firms
Productivity,Measured by net sales for a firm in a given year.,The Role of Technology Spillovers in the Process of Water Pollution Abatement for Large International Firms
Physical Capital Stock,The stock of physical capital for a firm in a given year.,The Role of Technology Spillovers in the Process of Water Pollution Abatement for Large International Firms
Employment,The number of employees for a firm in a given year.,The Role of Technology Spillovers in the Process of Water Pollution Abatement for Large International Firms
R&D Capital Stock,The stock of R&D capital for a firm in a given year.,The Role of Technology Spillovers in the Process of Water Pollution Abatement for Large International Firms
Environmental Performance,Evaluated through the ratio between productivity and CO2 emissions (SCO2).,The Role of Technology Spillovers in the Process of Water Pollution Abatement for Large International Firms
CO2 Emissions,Emission variables provided by the environmental accounts from the World Input Output Database.,The Role of Technology Spillovers in the Process of Water Pollution Abatement for Large International Firms
Technological Diversification (TD),A measure of the extent of a firm's diversification across different technology fields.,Dynamic Technological Diversification and Its Impact on Firms’ Performance: An Empirical Analysis of Korean IT Firms
Unrelated Technological Diversification (UTD),A measure of the extent of a firm's diversification among irrelevant technology fields.,Dynamic Technological Diversification and Its Impact on Firms’ Performance: An Empirical Analysis of Korean IT Firms
Related Technological Diversification (RTD),A measure of the extent of a firm's diversification on relevant technology fields.,Dynamic Technological Diversification and Its Impact on Firms’ Performance: An Empirical Analysis of Korean IT Firms
Firm's Innovation Capabilities (PCAP),A measure of a firm's growth rate during the period of R&D planning and project participation.,Dynamic Technological Diversification and Its Impact on Firms’ Performance: An Empirical Analysis of Korean IT Firms
Firm's Performance (FPER),A measure of a firm's growth rate used to evaluate the benefits of technological diversification.,Dynamic Technological Diversification and Its Impact on Firms’ Performance: An Empirical Analysis of Korean IT Firms
"Time Periods (TPCAP, TFPER)",The prior stage of patent application and the stage to have performance associated with technological diversification.,Dynamic Technological Diversification and Its Impact on Firms’ Performance: An Empirical Analysis of Korean IT Firms
Firm's Size,A categorical variable distinguishing between small and large firms.,Dynamic Technological Diversification and Its Impact on Firms’ Performance: An Empirical Analysis of Korean IT Firms
Return on Sales (ROS),A financial metric used to calculate the moving average for growth rate analysis.,Dynamic Technological Diversification and Its Impact on Firms’ Performance: An Empirical Analysis of Korean IT Firms
International Patent Classification (IPC),A system used to classify the technical attributes of a patent.,Dynamic Technological Diversification and Its Impact on Firms’ Performance: An Empirical Analysis of Korean IT Firms
International Technological Collaboration,A concept that refers to the cooperation among different nations or regions in the field of technology.,Exploring the Technological Collaboration Characteristics of the Global Integrated Circuit Manufacturing Industry
Collaboration Patterns,The distribution of research topics and the main technological collaboration subfields among countries or regions.,Exploring the Technological Collaboration Characteristics of the Global Integrated Circuit Manufacturing Industry
Collaboration Networks,The structure that represents the relationships among countries or regions in terms of technological cooperation.,Exploring the Technological Collaboration Characteristics of the Global Integrated Circuit Manufacturing Industry
Collaboration Institutions,"The types of institutions involved in international technological cooperation, such as enterprises, research institutions, colleges, and universities.",Exploring the Technological Collaboration Characteristics of the Global Integrated Circuit Manufacturing Industry
Collaboration Impact,"The influence of a country or region in the international technological cooperation network, measured by centrality metrics.",Exploring the Technological Collaboration Characteristics of the Global Integrated Circuit Manufacturing Industry
USA,A country that has the highest level of international technological collaboration in the ICM industry.,Exploring the Technological Collaboration Characteristics of the Global Integrated Circuit Manufacturing Industry
Germany,A country with great potential for future development in international technological collaboration.,Exploring the Technological Collaboration Characteristics of the Global Integrated Circuit Manufacturing Industry
Asia,A geographical region that has formed a cluster in the cooperative network.,Exploring the Technological Collaboration Characteristics of the Global Integrated Circuit Manufacturing Industry
Europe,A geographical region that has also formed a cluster in the cooperative network.,Exploring the Technological Collaboration Characteristics of the Global Integrated Circuit Manufacturing Industry
Patents,A form of intellectual property rights that serves as a basis for analyzing technological collaboration.,Exploring the Technological Collaboration Characteristics of the Global Integrated Circuit Manufacturing Industry
Institutions,"Entities such as enterprises, research institutions, colleges, and universities that own patents and participate in international collaboration.",Exploring the Technological Collaboration Characteristics of the Global Integrated Circuit Manufacturing Industry
Net Sales,A variable representing the total sales of a firm.,Green Economy and Sustainable Development: The Economic Impact of Innovation on Employment
Number of Employees,A variable representing the total workforce of a firm.,Green Economy and Sustainable Development: The Economic Impact of Innovation on Employment
Annual Capital Expenditures,A variable representing the total capital expenditures made by a firm in a year.,Green Economy and Sustainable Development: The Economic Impact of Innovation on Employment
Annual R&D Expenditures,A variable representing the total research and development expenditures made by a firm in a year.,Green Economy and Sustainable Development: The Economic Impact of Innovation on Employment
Annual Operating Profit,A variable representing the total operating profit of a firm in a year.,Green Economy and Sustainable Development: The Economic Impact of Innovation on Employment
R&D Capital Stock,A variable representing the accumulated R&D capital stock of a firm.,Green Economy and Sustainable Development: The Economic Impact of Innovation on Employment
Marshallian Spillovers,A variable representing the externalities stemming from firms belonging to the same sector.,Green Economy and Sustainable Development: The Economic Impact of Innovation on Employment
Environmental Innovations,A variable representing the adoption of new environmentally friendly technologies or practices.,Green Economy and Sustainable Development: The Economic Impact of Innovation on Employment
Firm's Fixed Effects,A variable controlling for unobserved heterogeneity between firms.,Green Economy and Sustainable Development: The Economic Impact of Innovation on Employment
Time Dummies,A variable controlling for time-specific effects.,Green Economy and Sustainable Development: The Economic Impact of Innovation on Employment
Industry Dummies,A variable controlling for industry-specific effects.,Green Economy and Sustainable Development: The Economic Impact of Innovation on Employment
Central Position,"A measure of a node’s rights within the network, quantified by the degree of centrality, which is the number of other nodes directly connected to a given node.",Network Position Advantage and Technological Innovation of China’s New Energy Vehicle Based on the Perspective of Network Theory
Brokerage Position,"A measure of the level of a node as a bridge in the network, quantified by the effective scale, which is the size of a single node in the network minus the overall network redundancy.",Network Position Advantage and Technological Innovation of China’s New Energy Vehicle Based on the Perspective of Network Theory
Tie Strength,"Describes the closeness of cooperation between two nodes, measured by the ratio of the number of connections to the number of degrees, expressed by the number of patents for joint inventions.",Network Position Advantage and Technological Innovation of China’s New Energy Vehicle Based on the Perspective of Network Theory
Technological Niche’s Ecostate (TNS),Measured by the number of approved patents in the node that year.,Network Position Advantage and Technological Innovation of China’s New Energy Vehicle Based on the Perspective of Network Theory
Technological Niche’s Ecorole (TNR),Measured by the ratio of the number of authorized patents and base-period patents in a given year to the number of patents in the base period.,Network Position Advantage and Technological Innovation of China’s New Energy Vehicle Based on the Perspective of Network Theory
Technology Resource Category (TRC),"A control variable used to characterize the types of technological resources for innovation, based on the first four categories of patent classifications.",Network Position Advantage and Technological Innovation of China’s New Energy Vehicle Based on the Perspective of Network Theory
Firm Size,Measured by one time lagged log of sales.,Firm Growth and R&D in the Korean Pharmaceutical Industry
Firm Age,Established year of the firm and used the log of age.,Firm Growth and R&D in the Korean Pharmaceutical Industry
R&D Intensity,"Calculated with R&D expenditure divided by one-period lag firm size and by one period lag asset, combined into a single composite index using principal component analysis (PCA).",Firm Growth and R&D in the Korean Pharmaceutical Industry
R&D Scale,A dummy variable which controls the effect of above-average R&D spending while controlling the effect of R&D intensity.,Firm Growth and R&D in the Korean Pharmaceutical Industry
Patent Persistence,"A dummy variable to measure innovation activity, equals 1 if a company has a patent consecutively over the past 4 years.",Firm Growth and R&D in the Korean Pharmaceutical Industry
Growth Level,A dummy variable whose value is 1 if a firm growth rate is above industry median and 0 otherwise.,Firm Growth and R&D in the Korean Pharmaceutical Industry
Sales Growth Rate,Calculated using log difference of annual sales revenue.,Firm Growth and R&D in the Korean Pharmaceutical Industry
Collective Intelligence (CL),"A variable measured by co-invention, representing the intelligence of a group acting collectively.",Collective Intelligence: An Emerging World in Open Innovation
Open Innovation (OI),"A variable measured by the standardized multiple between the breadth of OI and the depth of OI, indicating technological collaboration in inventive activities.",Collective Intelligence: An Emerging World in Open Innovation
Firm Performance,"A variable measured by three different dependent variables: the average number of sub-IPC, the ratio of disputed patents, and the ratio of transferred patents.",Collective Intelligence: An Emerging World in Open Innovation
Industry Type,A categorical variable distinguishing between the automotive industry and the pharmaceutical industry.,Collective Intelligence: An Emerging World in Open Innovation
Number of Patents,A control variable representing the size of the firm or the year of the firm.,Collective Intelligence: An Emerging World in Open Innovation
Product Development,A variable indicating whether a firm has a product development function.,Business Model Design for Latecomers in Biopharmaceutical Industry: The Case of Korean Firms
Business Diversification,"The number of business areas a biopharmaceutical firm engaged in, serving as a proxy for the level of business diversification.",Business Model Design for Latecomers in Biopharmaceutical Industry: The Case of Korean Firms
R&D Alliances,"The number of R&D alliances from 2005 to 2011, indicating the level of R&D collaboration.",Business Model Design for Latecomers in Biopharmaceutical Industry: The Case of Korean Firms
M&M Alliances,"The number of manufacturing and marketing alliances from 2005 to 2011, indicating the level of strategic alliance in manufacturing and marketing.",Business Model Design for Latecomers in Biopharmaceutical Industry: The Case of Korean Firms
Firm Size,"Defined as the number of employees, indicating the scale of the firm.",Business Model Design for Latecomers in Biopharmaceutical Industry: The Case of Korean Firms
Firm Age,"Defined as the number of years since foundation, indicating the maturity of the firm.",Business Model Design for Latecomers in Biopharmaceutical Industry: The Case of Korean Firms
Government R&D Funding,Consists of both total government R&D fund and the total number of government R&D projects.,Business Model Design for Latecomers in Biopharmaceutical Industry: The Case of Korean Firms
R&D Intensity,Measured by the ratio of R&D expenditure to the number of employees.,Business Model Design for Latecomers in Biopharmaceutical Industry: The Case of Korean Firms
Technological Innovation Performance,Represented by the number of patents.,Business Model Design for Latecomers in Biopharmaceutical Industry: The Case of Korean Firms
Financial Performance,"Measured by revenues, operating profit, and net profit.",Business Model Design for Latecomers in Biopharmaceutical Industry: The Case of Korean Firms
Technological Capability,"A measure of the acquirer's R&D intensity prior to the M&A, used as a proxy for the firm's capability.",The Influence of a Firm’s Capability and Dyadic Relationship of the Knowledge Base on Ambidextrous Innovation in Biopharmaceutical M&As
Acquisition Experience,"The number of M&As the acquirer firm went through before the year of the M&A, representing the firm's experience in M&As.",The Influence of a Firm’s Capability and Dyadic Relationship of the Knowledge Base on Ambidextrous Innovation in Biopharmaceutical M&As
Technological Commonness,The ratio of the same kinds of IPC codes shared by the acquirer and target out of the patents registered for the five years prior to the M&A.,The Influence of a Firm’s Capability and Dyadic Relationship of the Knowledge Base on Ambidextrous Innovation in Biopharmaceutical M&As
Technological Newness,The ratio of the kinds of IPC codes which existed only in the target out of the patents registered for the five years prior to the M&A.,The Influence of a Firm’s Capability and Dyadic Relationship of the Knowledge Base on Ambidextrous Innovation in Biopharmaceutical M&As
Firm Size,"The natural logarithm of the number of employees, used as a control variable to account for the scale of the firm's operations.",The Influence of a Firm’s Capability and Dyadic Relationship of the Knowledge Base on Ambidextrous Innovation in Biopharmaceutical M&As
Firm Age,"The number of years from the financial year on the relevant financial data to the year of the M&A, used as a control variable to account for the firm's longevity.",The Influence of a Firm’s Capability and Dyadic Relationship of the Knowledge Base on Ambidextrous Innovation in Biopharmaceutical M&As
M&A Period,"A control variable indicating the time period of the M&A, with activities after the base point of 2007 set as 1 and before as 0.",The Influence of a Firm’s Capability and Dyadic Relationship of the Knowledge Base on Ambidextrous Innovation in Biopharmaceutical M&As
Exploitation Innovation Performance,A dependent variable measured by the number of patents after the M&A in the same areas as prior to the merger.,The Influence of a Firm’s Capability and Dyadic Relationship of the Knowledge Base on Ambidextrous Innovation in Biopharmaceutical M&As
Exploration Innovation Performance,A dependent variable measured by the number of patents after the M&A in areas which did not exist prior to the M&A.,The Influence of a Firm’s Capability and Dyadic Relationship of the Knowledge Base on Ambidextrous Innovation in Biopharmaceutical M&As
Innovation Ambidexterity,"A measure based on the balance between exploitative and exploratory innovation activities, derived from patent data.","Alliance Network Diversity and Innovation Ambidexterity: The Differential Roles of Industrial Diversity, Geographical Diversity, and Functional Diversity"
Industrial Diversity,"Measured by the diversity of industries that a firm's alliance partners belong to, based on the four-digit SIC code.","Alliance Network Diversity and Innovation Ambidexterity: The Differential Roles of Industrial Diversity, Geographical Diversity, and Functional Diversity"
Geographical Diversity,Measured by the diversity of countries that a firm's alliance partners are located in.,"Alliance Network Diversity and Innovation Ambidexterity: The Differential Roles of Industrial Diversity, Geographical Diversity, and Functional Diversity"
Functional Diversity,"Measured by the diversity of functions or activities involved in a firm's alliances, such as R&D, marketing, manufacturing, etc.","Alliance Network Diversity and Innovation Ambidexterity: The Differential Roles of Industrial Diversity, Geographical Diversity, and Functional Diversity"
Firm Size,"Control variable, measured by the log-transformed total assets of a firm.","Alliance Network Diversity and Innovation Ambidexterity: The Differential Roles of Industrial Diversity, Geographical Diversity, and Functional Diversity"
Firm Age,"Control variable, representing the age of the firm.","Alliance Network Diversity and Innovation Ambidexterity: The Differential Roles of Industrial Diversity, Geographical Diversity, and Functional Diversity"
Employee Number,"Control variable, a binary indicator of whether the firm has 10,000 or more employees.","Alliance Network Diversity and Innovation Ambidexterity: The Differential Roles of Industrial Diversity, Geographical Diversity, and Functional Diversity"
Biopharmaceutical,"Control variable, a binary indicator for firms in the biopharmaceutical industry.","Alliance Network Diversity and Innovation Ambidexterity: The Differential Roles of Industrial Diversity, Geographical Diversity, and Functional Diversity"
Europe,"Control variable, a regional dummy for firms located in Europe.","Alliance Network Diversity and Innovation Ambidexterity: The Differential Roles of Industrial Diversity, Geographical Diversity, and Functional Diversity"
North_America,"Control variable, a regional dummy for firms located in North America.","Alliance Network Diversity and Innovation Ambidexterity: The Differential Roles of Industrial Diversity, Geographical Diversity, and Functional Diversity"
Technology Cycle Time (TCT),"A measure of how fast an industry's or company's technology and knowledge domains become obsolete, calculated by averaging time lags between the publication years of citing and cited patents.",A Comparative Study of Sustainable Transition from Catch-up to Post Catch-up of South Korea and China
Self-Citation Ratio,"The percentage of a country's patents that cite other patents from the same country, indicating the degree of localization of knowledge creation.",A Comparative Study of Sustainable Transition from Catch-up to Post Catch-up of South Korea and China
Basic Research Expenditure,"The absolute expenditure on basic research activities and the gross domestic expenditure on basic research as a percentage (GDEB), indicating a country's investment in knowledge creation and technological advancement.",A Comparative Study of Sustainable Transition from Catch-up to Post Catch-up of South Korea and China
Gross Domestic Expenditure on Basic Research (GDEB),"The percentage of a country's GDP spent on basic research, reflecting the emphasis on foundational scientific development.",A Comparative Study of Sustainable Transition from Catch-up to Post Catch-up of South Korea and China
IPC Classification,"International Patent Classification, used to categorize patents into different technology fields, indicating the focus areas of a country's innovation.",A Comparative Study of Sustainable Transition from Catch-up to Post Catch-up of South Korea and China
Firm Innovation,A composite measure of innovation quantity (IN_qn) and innovation quality (IN_ql) at the firm level.,Does Higher Education Promote Firm Innovation in China?
Higher Education,Measured by the number of colleges and universities (HigherEdu) and distinguished into elite higher education (Elite 1 and Elite 2) and non-elite higher education (nonElite1 and nonElite2).,Does Higher Education Promote Firm Innovation in China?
Firm Size,Measured by the sales of a firm (Size).,Does Higher Education Promote Firm Innovation in China?
Capital Intensity,Calculated by dividing the total assets of the firm by the number of employees (Intensity).,Does Higher Education Promote Firm Innovation in China?
Value of Firm Exports,Measured as the real value of exports (Export).,Does Higher Education Promote Firm Innovation in China?
Firm Age,Measured as the number of years since a firm had commenced operations (Age).,Does Higher Education Promote Firm Innovation in China?
Firm Ownership,"Categorized into state-owned enterprises (SOEs), foreign-owned enterprises (FOEs), and privately owned enterprises (POEs) (Ownership).",Does Higher Education Promote Firm Innovation in China?
Elite Higher Education,Measured by the number of central universities (Elite 1) and universities in the '211 Project' (Elite 2).,Does Higher Education Promote Firm Innovation in China?
Non-Elite Higher Education,Measured by the number of colleges and universities not under the central government (nonElite1) and not in the '211 Project' (nonElite2).,Does Higher Education Promote Firm Innovation in China?
Industry Type,Distinguished into high-tech and non-high-tech enterprises.,Does Higher Education Promote Firm Innovation in China?
Technological Innovation,"A broad category of developments that contribute to city innovation, including various technological fields.",Long-Term City Innovation Trajectories and Quality of Urban Life
Quality of Urban Life,"A multi-dimensional concept that includes social, economic, and environmental perspectives affecting the well-being of city residents.",Long-Term City Innovation Trajectories and Quality of Urban Life
Urban Transformative Capacity,"The ability of a city to absorb new knowledge and innovation, influencing its capacity to improve overall quality of life.",Long-Term City Innovation Trajectories and Quality of Urban Life
Path Dependence,A theory suggesting that technological developments evolve based on previous technological trajectories and choices.,Long-Term City Innovation Trajectories and Quality of Urban Life
Digital Technologies,"Technologies related to information and communication, which have seen explosive growth and contribute to the transformation towards smart cities.",Long-Term City Innovation Trajectories and Quality of Urban Life
Environmental Sustainability,"The consideration of environmental impacts in the development of new technologies, reflecting growing concerns for sustainability.",Long-Term City Innovation Trajectories and Quality of Urban Life
Institution Settings,The formal and informal rules that influence the direction and pace of technological innovation and city transformation.,Long-Term City Innovation Trajectories and Quality of Urban Life
ICT-related Technological Development,"Technological advancements in the field of information and communication technologies, which are crucial for smart city development.",Long-Term City Innovation Trajectories and Quality of Urban Life
Non-ICT-related Technological Development,Technological advancements outside the ICT field that also contribute to city innovation and quality of life.,Long-Term City Innovation Trajectories and Quality of Urban Life
Patent Data,Data from the European Patent Office used to analyze the trajectories of technological developments over time.,Long-Term City Innovation Trajectories and Quality of Urban Life
Organizations’ Structural Holes,A measure indicating the extent of organizations’ disconnected network contacts in the scientific cooperation network.,How Does Inter-Organizational Cooperation Impact Organizations’ Scientific Knowledge Generation? Evidence from the Biomass Energy Field
Organizations’ Degree Centrality of Scientific Cooperation Network,A measure representing the amount of accessed external knowledge by the central position of the network.,How Does Inter-Organizational Cooperation Impact Organizations’ Scientific Knowledge Generation? Evidence from the Biomass Energy Field
Density of Industrial Scientific Cooperation Network,A measure indicating the average frequency of contacts among organizations in the industrial scientific cooperation network.,How Does Inter-Organizational Cooperation Impact Organizations’ Scientific Knowledge Generation? Evidence from the Biomass Energy Field
Organizations’ Degree Centrality of Technical Cooperation Network,A measure indicating the organizations’ network position of technical cooperation network.,How Does Inter-Organizational Cooperation Impact Organizations’ Scientific Knowledge Generation? Evidence from the Biomass Energy Field
Organizations’ Scientific Knowledge Generation,A measure represented by the number of published articles by organizations.,How Does Inter-Organizational Cooperation Impact Organizations’ Scientific Knowledge Generation? Evidence from the Biomass Energy Field
Absorptive Capacity,"A firm’s ability to acquire and assimilate external knowledge, measured by the number of patent applications and in-licensing agreements.",Factors Affecting Outbound Open Innovation Performance in Bio-Pharmaceutical Industry-Focus on Out-Licensing Deals
Desorptive Capacity,"A firm’s ability to externalize internal knowledge assets, measured by the number of forward citation patents and out-licensing agreements.",Factors Affecting Outbound Open Innovation Performance in Bio-Pharmaceutical Industry-Focus on Out-Licensing Deals
Connective Capacity,"A firm’s ability to maintain knowledge in inter-firm relationships, measured by the number of same IPC codes and R&D collaborations.",Factors Affecting Outbound Open Innovation Performance in Bio-Pharmaceutical Industry-Focus on Out-Licensing Deals
R&D Intensity,"The ratio of R&D expenditures to the firm’s total expenditures, indicating the relative importance of R&D within the firm.",Factors Affecting Outbound Open Innovation Performance in Bio-Pharmaceutical Industry-Focus on Out-Licensing Deals
Firm Size,"The number of employees, used as a proxy for the size of the firm.",Factors Affecting Outbound Open Innovation Performance in Bio-Pharmaceutical Industry-Focus on Out-Licensing Deals
Financial Performance,"The average sales over three years after licensing, used as a measure of the firm's economic performance.",Factors Affecting Outbound Open Innovation Performance in Bio-Pharmaceutical Industry-Focus on Out-Licensing Deals
Environmental Information Disclosure (EID),A measure of how extensively a company discloses information related to its environmental impact and policies.,Does Environmental Information Disclosure Affect the Sustainable Development of Enterprises: The Role of Green Innovation
Green Innovation (GI),"The processes, technologies, and products that reduce the consumption of energy and raw materials, as well as environmental pollution, promoting sustainable development.",Does Environmental Information Disclosure Affect the Sustainable Development of Enterprises: The Role of Green Innovation
Government Subsidies for Energy-Saving Innovation,Financial incentives provided by the government to support energy-saving and environmental protection innovations.,Does Environmental Information Disclosure Affect the Sustainable Development of Enterprises: The Role of Green Innovation
Media Attention,The extent of coverage and attention given to a company's environmental performance by media outlets.,Does Environmental Information Disclosure Affect the Sustainable Development of Enterprises: The Role of Green Innovation
Debt Financing Costs,"The costs associated with borrowing money, including interest expenses, for a company.",Does Environmental Information Disclosure Affect the Sustainable Development of Enterprises: The Role of Green Innovation
Enterprise Scale,"The size of the enterprise, which can influence its ability to control resources and cultivate employees.",Does Environmental Information Disclosure Affect the Sustainable Development of Enterprises: The Role of Green Innovation
Age,"The number of years the company has been listed, which may affect its innovation consciousness and structure.",Does Environmental Information Disclosure Affect the Sustainable Development of Enterprises: The Role of Green Innovation
Financial Leverage,"The ratio of total liabilities to total assets, indicating the company's debt burden.",Does Environmental Information Disclosure Affect the Sustainable Development of Enterprises: The Role of Green Innovation
Capital Intensity,"A measure of the company's fixed assets per capita, which can influence its innovation and environmental protection activities.",Does Environmental Information Disclosure Affect the Sustainable Development of Enterprises: The Role of Green Innovation
Competitiveness,"The ratio of operating profit to main business income, reflecting the company's market competitiveness.",Does Environmental Information Disclosure Affect the Sustainable Development of Enterprises: The Role of Green Innovation
Tobin’s Q,"A measure of a company's market value relative to the replacement value of its assets, indicating corporate performance.",Does Environmental Information Disclosure Affect the Sustainable Development of Enterprises: The Role of Green Innovation
Technology Innovation (PAT),The number of patent applications authorized to characterize the level of technology innovation.,"Technology Innovation, Economic Growth and Carbon Emissions in the Context of Carbon Neutrality: Evidence from BRICS"
Economic Growth (EG),Per capita GDP (in 2010 USD constant price) and its quadratic term to verify the EKC hypothesis.,"Technology Innovation, Economic Growth and Carbon Emissions in the Context of Carbon Neutrality: Evidence from BRICS"
Carbon Emissions (CE),"Per capita carbon emissions, measured in metric tons.","Technology Innovation, Economic Growth and Carbon Emissions in the Context of Carbon Neutrality: Evidence from BRICS"
Urbanization (URB),The percentage of urban population to total population.,"Technology Innovation, Economic Growth and Carbon Emissions in the Context of Carbon Neutrality: Evidence from BRICS"
Fixed Capital Formation (CAP),"An indicator of investment, which is an important driving force of energy consumption.","Technology Innovation, Economic Growth and Carbon Emissions in the Context of Carbon Neutrality: Evidence from BRICS"
Industry Development (IND),"The ratio of industrial added value to regional GDP, reflecting the impact of industrial structure on carbon emission.","Technology Innovation, Economic Growth and Carbon Emissions in the Context of Carbon Neutrality: Evidence from BRICS"
Network Centrality,"A measure of the central position of an enterprise within the IUR network, indicating the ability to establish connections and use resources.",Research on the Performance of Knowledge Co-Creation of Science and Technology Enterprises Based on IUR Network
Absorptive Capacity,"The ability of an enterprise to acquire, digest, convert, and apply external network knowledge.",Research on the Performance of Knowledge Co-Creation of Science and Technology Enterprises Based on IUR Network
Knowledge Co-Creation Performance,"The new knowledge created by network members in the process of knowledge sharing and knowledge collision, such as jointly-developed new products, signed cooperative projects, and jointly-applied patents.",Research on the Performance of Knowledge Co-Creation of Science and Technology Enterprises Based on IUR Network
Age,"The age of the enterprise, calculated as the year of data collection minus the year of establishment.",Research on the Performance of Knowledge Co-Creation of Science and Technology Enterprises Based on IUR Network
Size,"The size of the company, calculated as the company’s registered capital.",Research on the Performance of Knowledge Co-Creation of Science and Technology Enterprises Based on IUR Network
Debt to Asset Ratio,A financial metric calculated as liabilities/total assets.,Research on the Performance of Knowledge Co-Creation of Science and Technology Enterprises Based on IUR Network
Technological Innovation System (TIS),"A system that involves various interacting actors and includes the development, application, and diffusion of a particular focal technology.",Mapping the Territorial Adaptation of Technological Innovation Systems—Trajectories of the Internal Combustion Engine
Technological Trajectory,"The cumulative, path-dependent progress of a technology within a technological paradigm.",Mapping the Territorial Adaptation of Technological Innovation Systems—Trajectories of the Internal Combustion Engine
Internal Combustion Engine (ICE),A type of engine that has been under increasing transformational pressure due to societal concerns about environmental pollution.,Mapping the Territorial Adaptation of Technological Innovation Systems—Trajectories of the Internal Combustion Engine
Patent Citation Networks,Networks used to measure the technological adaptation by identifying the most important knowledge search processes.,Mapping the Territorial Adaptation of Technological Innovation Systems—Trajectories of the Internal Combustion Engine
Transformational Pressures,"Pressures initiated by developments in the TIS or its context, such as competing technologies, loss of policy support, and changing societal expectations.",Mapping the Territorial Adaptation of Technological Innovation Systems—Trajectories of the Internal Combustion Engine
